order_date,product_category,region,quantity,revenue
2023-01-01,Electronics,East,1,75.53
2023-01-01,Electronics,North,3,146.89
2023-01-01,Electronics,West,1,84.89
2023-01-01,Electronics,South,3,142.3
2023-01-01,Electronics,North,4,84.57
2023-01-01,Electronics,West,1,210.72
2023-01-01,Electronics,West,2,94.17
2023-01-01,Electronics,South,2,108.98
2023-01-01,Electronics,East,3,165.45
2023-01-01,Electronics,South,1,103.9
2023-01-01,Electronics,South,3,235.54
2023-01-01,Electronics,South,4,86.39
2023-01-01,Electronics,West,2,180.31
2023-01-01,Clothing,North,3,61.52
2023-01-01,Clothing,West,4,76.9
2023-01-01,Clothing,West,2,75.2
2023-01-01,Clothing,North,1,42.57
2023-01-01,Clothing,South,3,110.08
2023-01-01,Clothing,East,3,19.44
2023-01-01,Clothing,South,4,73.61
2023-01-01,Clothing,North,4,45.58
2023-01-01,Clothing,North,1,49.69
2023-01-01,Clothing,South,4,32.59
2023-01-01,Clothing,West,3,77.31
2023-01-01,Clothing,West,2,75.0
2023-01-01,Clothing,North,1,38.09
2023-01-01,Clothing,North,3,27.31
2023-01-01,Clothing,East,2,55.36
2023-01-01,Clothing,South,1,76.41
2023-01-01,Clothing,North,4,52.74
2023-01-01,Home & Garden,East,2,41.39
2023-01-01,Home & Garden,West,2,59.78
2023-01-01,Home & Garden,South,3,105.36
2023-01-01,Home & Garden,South,1,42.64
2023-01-01,Home & Garden,East,4,25.08
2023-01-01,Home & Garden,West,1,52.85
2023-01-01,Home & Garden,East,2,54.87
2023-01-01,Sports,South,4,56.48
2023-01-01,Sports,South,1,71.82
2023-01-01,Sports,East,1,76.88
2023-01-01,Sports,East,4,45.03
2023-01-01,Sports,North,2,28.21
2023-01-01,Sports,West,2,26.42
2023-01-01,Sports,South,3,96.55
2023-01-01,Sports,South,3,79.08
2023-01-01,Sports,East,3,73.56
2023-01-01,Sports,West,2,45.76
2023-01-01,Sports,East,2,69.57
2023-01-01,Beauty,East,1,31.64
2023-01-01,Beauty,North,2,92.26
2023-01-01,Beauty,North,1,31.4
2023-01-01,Beauty,West,2,27.52
2023-01-01,Beauty,West,1,62.08
2023-01-01,Beauty,South,4,50.11
2023-01-01,Beauty,North,3,28.69
2023-01-01,Beauty,West,1,20.08
2023-01-01,Beauty,West,1,85.47
2023-01-01,Beauty,West,1,47.72
2023-01-02,Electronics,East,3,233.28
2023-01-02,Electronics,North,4,151.12
2023-01-02,Electronics,North,4,293.46
2023-01-02,Electronics,West,3,111.81
2023-01-02,Electronics,West,4,265.19
2023-01-02,Electronics,North,2,111.1
2023-01-02,Electronics,North,2,163.24
2023-01-02,Electronics,East,2,189.17
2023-01-02,Electronics,North,2,85.43
2023-01-02,Electronics,East,1,114.91
2023-01-02,Electronics,West,3,139.75
2023-01-02,Electronics,South,1,105.61
2023-01-02,Electronics,South,3,179.92
2023-01-02,Electronics,East,3,93.36
2023-01-02,Electronics,North,3,150.61
2023-01-02,Electronics,East,1,154.59
2023-01-02,Electronics,South,2,84.9
2023-01-02,Clothing,West,2,64.59
2023-01-02,Clothing,East,2,38.28
2023-01-02,Clothing,East,4,29.79
2023-01-02,Clothing,South,4,41.16
2023-01-02,Clothing,South,2,52.35
2023-01-02,Clothing,East,4,141.67
2023-01-02,Clothing,North,4,126.47
2023-01-02,Clothing,West,1,45.1
2023-01-02,Clothing,West,4,31.25
2023-01-02,Clothing,North,3,68.48
2023-01-02,Clothing,North,3,24.21
2023-01-02,Clothing,East,2,61.96
2023-01-02,Clothing,South,4,89.54
2023-01-02,Clothing,West,4,56.56
2023-01-02,Clothing,North,4,64.62
2023-01-02,Clothing,South,4,139.73
2023-01-02,Clothing,East,4,35.88
2023-01-02,Clothing,North,1,28.84
2023-01-02,Clothing,West,4,70.0
2023-01-02,Clothing,West,2,69.13
2023-01-02,Clothing,West,3,62.94
2023-01-02,Clothing,East,2,52.1
2023-01-02,Clothing,South,4,109.05
2023-01-02,Home & Garden,South,2,85.29
2023-01-02,Home & Garden,South,2,86.65
2023-01-02,Home & Garden,South,2,111.67
2023-01-02,Home & Garden,West,4,39.96
2023-01-02,Home & Garden,South,4,98.01
2023-01-02,Home & Garden,East,2,91.49
2023-01-02,Home & Garden,East,4,109.86
2023-01-02,Home & Garden,North,1,49.75
2023-01-02,Home & Garden,North,4,107.59
2023-01-02,Home & Garden,East,3,127.99
2023-01-02,Home & Garden,North,3,105.06
2023-01-02,Home & Garden,East,2,36.99
2023-01-02,Home & Garden,West,4,100.59
2023-01-02,Home & Garden,North,1,74.62
2023-01-02,Home & Garden,East,1,85.97
2023-01-02,Sports,West,4,74.94
2023-01-02,Sports,West,1,135.03
2023-01-02,Sports,North,3,86.1
2023-01-02,Sports,West,4,77.34
2023-01-02,Sports,West,3,95.51
2023-01-02,Sports,South,4,72.37
2023-01-02,Sports,North,4,59.37
2023-01-02,Beauty,East,1,22.4
2023-01-02,Beauty,West,2,27.22
2023-01-02,Beauty,West,3,62.26
2023-01-02,Beauty,North,2,62.61
2023-01-02,Beauty,North,1,114.49
2023-01-02,Beauty,North,3,86.38
2023-01-02,Beauty,South,2,76.4
2023-01-02,Beauty,South,1,15.48
2023-01-02,Beauty,North,3,53.62
2023-01-02,Beauty,South,3,8.82
2023-01-02,Beauty,West,3,51.97
2023-01-02,Beauty,North,3,28.57
2023-01-02,Beauty,North,1,46.4
2023-01-02,Beauty,North,4,37.51
2023-01-02,Beauty,North,4,33.35
2023-01-02,Beauty,East,4,38.78
2023-01-02,Beauty,West,2,19.16
2023-01-02,Beauty,West,4,28.3
2023-01-02,Beauty,West,4,45.67
2023-01-02,Beauty,East,3,39.79
2023-01-02,Beauty,West,1,77.84
2023-01-02,Beauty,North,1,29.73
2023-01-03,Electronics,East,3,203.76
2023-01-03,Electronics,North,1,167.77
2023-01-03,Electronics,North,2,128.37
2023-01-03,Electronics,West,2,98.53
2023-01-03,Electronics,East,2,95.72
2023-01-03,Electronics,West,1,162.57
2023-01-03,Electronics,East,3,114.39
2023-01-03,Electronics,North,1,115.11
2023-01-03,Electronics,South,4,128.37
2023-01-03,Electronics,South,4,347.25
2023-01-03,Electronics,East,4,230.29
2023-01-03,Electronics,South,1,135.73
2023-01-03,Electronics,South,3,52.06
2023-01-03,Electronics,South,2,107.18
2023-01-03,Electronics,East,2,233.32
2023-01-03,Electronics,East,3,110.35
2023-01-03,Electronics,East,2,187.03
2023-01-03,Clothing,East,4,55.21
2023-01-03,Clothing,West,1,107.35
2023-01-03,Clothing,West,2,53.41
2023-01-03,Clothing,South,2,68.35
2023-01-03,Clothing,West,4,74.58
2023-01-03,Clothing,South,3,66.25
2023-01-03,Clothing,East,1,46.63
2023-01-03,Clothing,West,3,45.94
2023-01-03,Clothing,East,1,104.27
2023-01-03,Clothing,West,3,22.16
2023-01-03,Clothing,South,2,158.01
2023-01-03,Clothing,South,4,69.51
2023-01-03,Clothing,North,3,57.94
2023-01-03,Clothing,North,3,65.54
2023-01-03,Clothing,East,4,85.07
2023-01-03,Clothing,North,3,33.26
2023-01-03,Clothing,North,2,106.04
2023-01-03,Clothing,South,2,58.9
2023-01-03,Clothing,West,1,45.27
2023-01-03,Clothing,South,1,69.08
2023-01-03,Clothing,South,3,40.95
2023-01-03,Clothing,West,4,35.38
2023-01-03,Home & Garden,West,4,66.72
2023-01-03,Home & Garden,East,3,81.45
2023-01-03,Home & Garden,South,2,101.81
2023-01-03,Home & Garden,East,2,85.33
2023-01-03,Home & Garden,West,1,62.22
2023-01-03,Home & Garden,East,4,35.27
2023-01-03,Home & Garden,West,4,44.31
2023-01-03,Home & Garden,South,1,75.35
2023-01-03,Home & Garden,West,3,105.51
2023-01-03,Home & Garden,East,1,96.46
2023-01-03,Home & Garden,East,1,70.8
2023-01-03,Home & Garden,East,4,80.89
2023-01-03,Home & Garden,West,3,132.33
